timestamps population node_ids
45.80000000009954 LUT 0
53.00000000009913 LUT 0
56.900000000098906 LUT 0
60.20000000009872 LUT 0
63.90000000009851 LUT 0
68.40000000009826 LUT 0
75.80000000009784 LUT 0
109.8000000000959 LUT 0
116.30000000009554 LUT 0
164.3000000001031 LUT 0
171.60000000010476 LUT 0
179.00000000010644 LUT 0
183.60000000010749 LUT 0
199.40000000011108 LUT 0
204.00000000011212 LUT 0
281.60000000012974 LUT 0
289.4000000001315 LUT 0
360.30000000014763 LUT 0
368.1000000001494 LUT 0
450.4000000001681 LUT 0
458.2000000001699 LUT 0
462.2000000001708 LUT 0
467.0000000001719 LUT 0
590.3000000001109 LUT 0
598.2000000001037 LUT 0
748.9999999999666 LUT 0
754.4999999999616 LUT 0
758.399999999958 LUT 0
763.2999999999536 LUT 0
802.2999999999181 LUT 0
808.7999999999122 LUT 0
837.2999999998863 LUT 0
840.6999999998832 LUT 0
844.5999999998796 LUT 0
849.5999999998751 LUT 0
950.4999999997833 LUT 0
956.0999999997782 LUT 0
959.9999999997747 LUT 0
963.7999999997712 LUT 0
967.299999999768 LUT 0
971.4999999997642 LUT 0
977.3999999997588 LUT 0
981.2999999997553 LUT 0
985.5999999997514 LUT 0
991.7999999997458 LUT 0
995.5999999997423 LUT 0
51.800000000099196 LUT 2
56.60000000009892 LUT 2
60.30000000009871 LUT 2
63.600000000098525 LUT 2
66.70000000009836 LUT 2
70.00000000009817 LUT 2
73.20000000009799 LUT 2
76.80000000009778 LUT 2
80.1000000000976 LUT 2
83.80000000009738 LUT 2
88.40000000009712 LUT 2
113.5000000000957 LUT 2
118.8000000000954 LUT 2
123.40000000009513 LUT 2
169.70000000010432 LUT 2
174.9000000001055 LUT 2
180.2000000001067 LUT 2
184.20000000010762 LUT 2
187.70000000010842 LUT 2
191.80000000010935 LUT 2
197.3000000001106 LUT 2
202.40000000011176 LUT 2
206.40000000011267 LUT 2
210.30000000011356 LUT 2
215.3000000001147 LUT 2
287.6000000001311 LUT 2
292.8000000001323 LUT 2
298.30000000013354 LUT 2
366.200000000149 LUT 2
371.5000000001502 LUT 2
377.00000000015143 LUT 2
456.4000000001695 LUT 2
461.60000000017067 LUT 2
465.3000000001715 LUT 2
469.00000000017235 LUT 2
472.60000000017317 LUT 2
476.8000000001741 LUT 2
482.8000000001755 LUT 2
596.3000000001055 LUT 2
601.6000000001006 LUT 2
607.1000000000956 LUT 2
754.9999999999611 LUT 2
759.2999999999572 LUT 2
762.8999999999539 LUT 2
766.2999999999508 LUT 2
769.9999999999475 LUT 2
774.4999999999434 LUT 2
781.8999999999367 LUT 2
806.6999999999141 LUT 2
811.7999999999095 LUT 2
816.699999999905 LUT 2
841.0999999998828 LUT 2
844.9999999998793 LUT 2
848.3999999998762 LUT 2
851.899999999873 LUT 2
855.3999999998698 LUT 2
859.4999999998661 LUT 2
865.099999999861 LUT 2
956.4999999997779 LUT 2
960.799999999774 LUT 2
964.3999999997707 LUT 2
967.6999999997677 LUT 2
970.7999999997649 LUT 2
973.899999999762 LUT 2
977.0999999997591 LUT 2
980.1999999997563 LUT 2
983.3999999997534 LUT 2
986.5999999997505 LUT 2
989.6999999997477 LUT 2
993.0999999997446 LUT 2
996.2999999997417 LUT 2
